param_iter	simnum	simcount	seed	d	e	j	brate	drate	b_exp	d_exp	m1	m2	t12	t21	nsp_sim	tree_ht_sim	tree_len_sim	nsp_obs	tree_ht_obs	tree_len_obs	time_spent_in_trait1	time_spent_in_trait2	total_time	pct_spent_in_trait1	pct_spent_in_trait2	sim_t12	sim_t21	sim_d_t1	sim_d_t2	sim_e_t1	sim_e_t2	sim_a_t1	sim_a_t2	obs_t12	obs_t21	obs_d_t1	obs_d_t2	obs_e_t1	obs_e_t2	obs_a_t1	obs_a_t2	sim_j_t1	sim_j_t2	sim_y_t1	sim_y_t2	sim_s_t1	sim_s_t2	sim_v_t1	sim_v_t2	obs_j_t1	obs_j_t2	obs_y_t1	obs_y_t2	obs_s_t1	obs_s_t2	obs_v_t1	obs_v_t2
1	64	64	592230849	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	89.2600739387235	1132.49797689828	50	89.2600739387235	1132.49797689828	830.044768716769	302.453208181514	1132.49797689828	73.3	26.7	2	6	14	6	0	0	0	0	2	6	14	6	0	0	0	0	7	2	23	10	6	0	1	0	7	2	23	10	6	0	1	0
1	65	65	592230850	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	109.077297791748	1399.40790828053	50	109.077297791748	1399.40790828053	721.0055203085	678.402387972035	1399.40790828053	51.5	48.5	2	9	11	16	0	0	0	0	2	9	11	16	0	0	0	0	8	4	9	14	2	4	4	4	8	4	9	14	2	4	4	4
1	66	66	592230851	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	56.9508562412593	937.504432940036	50	56.9508562412593	937.504432940036	303.106127348699	634.398305591337	937.504432940036	32.3	67.7	2	10	5	12	0	0	0	0	2	10	5	12	0	0	0	0	3	9	2	25	0	7	1	2	3	9	2	25	0	7	1	2
1	67	67	592230852	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	90.1766062925533	1363.06015418628	50	90.1766062925533	1363.06015418628	274.035540592846	1089.02461359344	1363.06015418628	20.1	79.9	1	8	1	28	0	0	0	0	1	8	1	28	0	0	0	0	1	7	6	20	0	8	0	7	1	7	6	20	0	8	0	7
1	68	68	592230853	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	96.3652816935816	1471.75903704608	50	96.3652816935816	1471.75903704608	571.041810431444	900.717226614634	1471.75903704608	38.8	61.2	4	8	14	12	0	0	0	0	4	8	14	12	0	0	0	0	7	7	9	19	2	3	1	1	7	7	9	19	2	3	1	1
1	69	69	592230854	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	74.7400207438197	1021.46121908436	50	74.7400207438197	1021.46121908436	219.862014882824	801.599204201533	1021.46121908436	21.5	78.5	0	6	5	15	0	0	0	0	0	6	5	15	0	0	0	0	1	8	3	25	2	6	1	3	1	8	3	25	2	6	1	3
1	70	70	592230855	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	74.5778645894869	941.228369338819	50	74.5778645894869	941.228369338819	601.57571098144	339.652658357379	941.228369338819	63.9	36.1	3	6	19	2	0	0	0	0	3	6	19	2	0	0	0	0	3	5	8	17	12	2	1	1	3	5	8	17	12	2	1	1
1	71	71	592230856	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	85.8219800585559	1013.47735391215	50	85.8219800585559	1013.47735391215	253.486368234519	759.990985677628	1013.47735391215	25	75	1	5	10	11	0	0	0	0	1	5	10	11	0	0	0	0	2	9	3	23	4	5	3	0	2	9	3	23	4	5	3	0
1	72	72	592230857	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	105.060504564575	1409.49834256565	50	105.060504564575	1409.49834256565	462.962250545218	946.536092020429	1409.49834256565	32.8	67.2	3	5	14	15	0	0	0	0	3	5	14	15	0	0	0	0	5	2	12	17	3	8	1	1	5	2	12	17	3	8	1	1
1	73	73	592230858	0.01	0	0.1	0.04491782	0	0	0	1	0.5	0.005	0.01	50	67.5328298122163	1190.67243906937	50	67.5328298122163	1190.67243906937	202.02353471416	988.648904355206	1190.67243906937	17	83	0	5	3	20	0	0	0	0	0	5	3	20	0	0	0	0	2	3	2	32	0	5	1	4	2	3	2	32	0	5	1	4
